date,gross_reported,net_reported,currency
2026-01-06,2582.24,2543.32,USD
2026-01-07,2642.51,2681.12,USD
2026-01-08,2519.92,2540.95,USD
2026-01-09,3047.12,3078.00,USD
2026-01-10,2701.34,2642.13,USD
2026-01-11,2618.29,2560.58,USD
2026-01-12,2722.46,2769.29,USD
2026-01-13,2915.18,2971.29,USD
2026-01-14,2265.86,2275.37,USD
2026-01-15,2704.54,2640.41,USD
2026-01-16,2720.46,2743.04,USD
2026-01-17,2093.13,2160.29,USD
2026-01-18,3233.22,3204.67,USD
2026-01-19,3022.20,3020.69,USD
2026-01-20,2342.42,2391.49,USD
2026-01-21,2279.63,2317.03,USD
2026-01-22,2673.48,2720.32,USD
2026-01-23,3008.43,2952.26,USD
2026-01-24,2616.52,2700.84,USD
2026-01-25,2527.16,2594.33,USD
2026-01-26,2557.72,2532.80,USD
2026-01-27,2462.96,2487.71,USD
2026-01-28,2533.91,2488.49,USD
2026-01-29,2947.77,2908.82,USD
2026-01-30,2352.53,2294.87,USD
2026-01-31,2411.42,2405.60,USD
2026-02-01,2392.06,2417.25,USD
2026-02-02,3061.05,3097.06,USD
2026-02-03,2582.81,2598.55,USD
2026-02-04,3072.64,3007.39,USD
