date,gross_reported,net_reported,currency
2026-01-06,2216.29,2211.33,USD
2026-01-07,2143.62,2195.69,USD
2026-01-08,2172.40,2176.73,USD
2026-01-09,2234.93,2193.51,USD
2026-01-10,2144.69,2196.67,USD
2026-01-11,2006.55,1998.48,USD
2026-01-12,2308.06,2257.62,USD
2026-01-13,2486.85,2506.08,USD
2026-01-14,2928.16,3011.34,USD
2026-01-15,3258.01,3358.81,USD
2026-01-16,2554.45,2631.23,USD
2026-01-17,3627.70,3722.77,USD
2026-01-18,2877.60,2817.92,USD
2026-01-19,2854.70,2919.75,USD
2026-01-20,2671.79,2640.69,USD
2026-01-21,2433.45,2466.11,USD
2026-01-22,2174.86,2244.14,USD
2026-01-23,2813.03,2903.73,USD
2026-01-24,2723.61,2786.74,USD
2026-01-25,2857.85,2831.65,USD
2026-01-26,2450.01,2389.88,USD
2026-01-27,2463.06,2428.70,USD
2026-01-28,3270.56,3331.12,USD
2026-01-29,2958.23,2912.69,USD
2026-01-30,3218.63,3270.09,USD
2026-01-31,2915.46,2999.83,USD
2026-02-01,2343.04,2341.31,USD
2026-02-02,2411.21,2487.16,USD
2026-02-03,3038.28,2996.37,USD
2026-02-04,2746.30,2718.97,USD
